country,pathogen_antibiotic,years_of_data,latest_year,latest_resistance_pct,predicted_next_year,predicted_resistance_pct,trend_pct_per_year
Austria,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",24,2024,2.5,2025,3.26,0.09
Norway,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",25,2024,1.51,2025,2.29,0.08
Austria,Klebsiella pneumoniae - Carbapenems,20,2024,1.48,2025,1.55,0.08
Czechia,Klebsiella pneumoniae - Carbapenems,19,2024,2.16,2025,1.35,0.08
Estonia,Klebsiella pneumoniae - Carbapenems,20,2024,1.7,2025,1.29,0.07
Finland,"Escherichia coli - Combined resistance (third-generation cephalosporin, fluoroquinolones and aminoglycoside)",24,2024,1.82,2025,2.67,0.07
Sweden,Staphylococcus aureus - Meticillin (MRSA),24,2024,2.6,2025,2.17,0.07
Norway,Staphylococcus aureus - Meticillin (MRSA),25,2024,2.06,2025,1.6,0.06
France,Klebsiella pneumoniae - Carbapenems,19,2024,1.21,2025,1.08,0.06
Denmark,Staphylococcus aureus - Meticillin (MRSA),25,2024,1.87,2025,2.2,0.05
Finland,Staphylococcus aureus - Meticillin (MRSA),25,2024,3.71,2025,2.95,0.05
Netherlands,Staphylococcus aureus - Meticillin (MRSA),25,2024,2.02,2025,1.85,0.04
Denmark,Klebsiella pneumoniae - Carbapenems,19,2024,0.44,2025,0.56,0.03
Ireland,Klebsiella pneumoniae - Carbapenems,20,2024,0.2,2025,0.67,0.03
Sweden,Klebsiella pneumoniae - Carbapenems,17,2024,0.52,2025,0.35,0.02
Germany,Klebsiella pneumoniae - Carbapenems,20,2024,1.24,2025,0.79,0.02
United Kingdom,Klebsiella pneumoniae - Carbapenems,15,2019,0.66,2020,0.65,0.02
Netherlands,Klebsiella pneumoniae - Carbapenems,20,2024,0.77,2025,0.46,0.02
Finland,Klebsiella pneumoniae - Carbapenems,20,2024,0.23,2025,0.23,0.01
Norway,Klebsiella pneumoniae - Carbapenems,20,2024,0.78,2025,0.28,0.0
